korean,correct,correctkorean,question,solution,wrong
"어떤 종류의 음악을 좋아하는지 물어볼 때","What kind of music do you like?","어떤 종류의 음악을 좋아하시나요?","What kind of (____) do you like?","music","food"
"어떤 종류의 영화가 좋은지 물어볼 때","What kind of movies do you enjoy?","어떤 종류의 영화를 좋아하시나요?","What kind of (____) do you enjoy?","movies","books"
"어떤 종류의 책을 읽는지 물어볼 때","What kind of books do you read?","어떤 종류의 책을 읽으시나요?","What kind of (____) do you read?","books","songs"
"어떤 종류의 음식이 맛있는지 물어볼 때","What kind of food do you find delicious?","어떤 종류의 음식이 맛있나요?","What kind of (____) do you find delicious?","food","clothes"
"어떤 종류의 차를 선호하는지 물어볼 때","What kind of car do you prefer?","어떤 종류의 차를 선호하시나요?","What kind of (____) do you prefer?","car","bike"
"어떤 종류의 운동을 하는지 물어볼 때","What kind of exercise do you do?","어떤 종류의 운동을 하시나요?","What kind of (____) do you do?","exercise","rest"
"어떤 종류의 일을 하는지 물어볼 때","What kind of job do you have?","어떤 종류의 일을 하시나요?","What kind of (____) do you have?","job","hobby"
"어떤 종류의 여행을 좋아하는지 물어볼 때","What kind of travel do you like?","어떤 종류의 여행을 좋아하시나요?","What kind of (____) do you like?","travel","work"
"어떤 종류의 예술을 좋아하는지 물어볼 때","What kind of art do you appreciate?","어떤 종류의 예술을 좋아하시나요?","What kind of (____) do you appreciate?","art","science"
"어떤 종류의 취미가 있는지 물어볼 때","What kind of hobbies do you have?","어떤 종류의 취미가 있나요?","What kind of (____) do you have?","hobbies","jobs"
"어떤 종류의 커피를 마시는지 물어볼 때","What kind of coffee do you drink?","어떤 종류의 커피를 마시나요?","What kind of (____) do you drink?","coffee","tea"
"어떤 종류의 꽃을 좋아하는지 물어볼 때","What kind of flowers do you like?","어떤 종류의 꽃을 좋아하시나요?","What kind of (____) do you like?","flowers","trees"
"어떤 종류의 날씨를 좋아하는지 물어볼 때","What kind of weather do you prefer?","어떤 종류의 날씨를 좋아하시나요?","What kind of (____) do you prefer?","weather","food"
"어떤 종류의 게임을 하는지 물어볼 때","What kind of games do you play?","어떤 종류의 게임을 하시나요?","What kind of (____) do you play?","games","music"
"어떤 종류의 스포츠를 좋아하는지 물어볼 때","What kind of sports do you like?","어떤 종류의 스포츠를 좋아하시나요?","What kind of (____) do you like?","sports","studies"
"어떤 종류의 음료를 마시는지 물어볼 때","What kind of drinks do you enjoy?","어떤 종류의 음료를 즐기시나요?","What kind of (____) do you enjoy?","drinks","foods"
"어떤 종류의 옷을 입는지 물어볼 때","What kind of clothes do you wear?","어떤 종류의 옷을 입으시나요?","What kind of (____) do you wear?","clothes","cars"
"어떤 종류의 수업을 듣는지 물어볼 때","What kind of classes are you taking?","어떤 종류의 수업을 듣고 계신가요?","What kind of (____) are you taking?","classes","foods"
"어떤 종류의 음악을 연주하는지 물어볼 때","What kind of music do you play?","어떤 종류의 음악을 연주하시나요?","What kind of (____) do you play?","music","sports"
"어떤 종류의 프로젝트를 진행하는지 물어볼 때","What kind of projects are you working on?","어떤 종류의 프로젝트를 진행하고 있나요?","What kind of (____) are you working on?","projects","games"
"어떤 종류의 영화를 좋아하는지 물어볼 때","What kind of movies do you like to watch?","어떤 종류의 영화를 좋아하시나요?","What kind of (____) do you like to watch?","movies","shows"
"어떤 종류의 책을 좋아하는지 물어볼 때","What kind of books do you enjoy reading?","어떤 종류의 책을 좋아하시나요?","What kind of (____) do you enjoy reading?","books","games"
"어떤 종류의 애완동물을 키우는지 물어볼 때","What kind of pets do you have?","어떤 종류의 애완동물을 키우시나요?","What kind of (____) do you have?","pets","hobbies"
"어떤 종류의 일을 하고 있는지 물어볼 때","What kind of work do you do?","어떤 종류의 일을 하시나요?","What kind of (____) do you do?","work","play"
"어떤 종류의 요리를 좋아하는지 물어볼 때","What kind of cuisine do you prefer?","어떤 종류의 요리를 선호하시나요?","What kind of (____) do you prefer?","cuisine","music"
"어떤 종류의 취미를 가지고 있는지 물어볼 때","What kind of hobbies do you pursue?","어떤 종류의 취미를 가지고 계신가요?","What kind of (____) do you pursue?","hobbies","jobs"
"어떤 종류의 차를 운전하는지 물어볼 때","What kind of car do you drive?","어떤 종류의 차를 운전하시나요?","What kind of (____) do you drive?","car","bicycle"
"어떤 종류의 기술을 사용하는지 물어볼 때","What kind of technology do you use?","어떤 종류의 기술을 사용하시나요?","What kind of (____) do you use?","technology","language"
"어떤 종류의 일을 하고 있는지 물어볼 때","What kind of tasks do you handle?","어떤 종류의 일을 처리하시나요?","What kind of (____) do you handle?","tasks","games"
"어떤 종류의 음식을 자주 먹는지 물어볼 때","What kind of meals do you frequently eat?","어떤 종류의 음식을 자주 드시나요?","What kind of (____) do you frequently eat?","meals","songs"
"어떤 종류의 차를 타고 다니는지 물어볼 때","What kind of vehicle do you use?","어떤 종류의 차량을 사용하시나요?","What kind of (____) do you use?","vehicle","food"
"어떤 종류의 강의를 듣는지 물어볼 때","What kind of lectures are you attending?","어떤 종류의 강의를 듣고 계신가요?","What kind of (____) are you attending?","lectures","games"
"어떤 종류의 음식을 먹는지 물어볼 때","What kind of dishes do you like to cook?","어떤 종류의 요리를 좋아하시나요?","What kind of (____) do you like to cook?","dishes","clothes"
"어떤 종류의 취미 생활을 하는지 물어볼 때","What kind of activities do you enjoy?","어떤 종류의 취미 생활을 즐기시나요?","What kind of (____) do you enjoy?","activities","jobs"
"어떤 종류의 스포츠를 하는지 물어볼 때","What kind of sports do you play?","어떤 종류의 스포츠를 하시나요?","What kind of (____) do you play?","sports","foods"
"어떤 종류의 도전을 좋아하는지 물어볼 때","What kind of challenges do you like?","어떤 종류의 도전을 좋아하시나요?","What kind of (____) do you like?","challenges","fears"
"어떤 종류의 미술 작품을 좋아하는지 물어볼 때","What kind of art do you like?","어떤 종류의 미술 작품을 좋아하시나요?","What kind of (____) do you like?","art","food"
"어떤 종류의 기술을 배우고 있는지 물어볼 때","What kind of skills are you learning?","어떤 종류의 기술을 배우고 계신가요?","What kind of (____) are you learning?","skills","foods"
"어떤 종류의 옷을 선호하는지 물어볼 때","What kind of clothing do you prefer?","어떤 종류의 옷을 선호하시나요?","What kind of (____) do you prefer?","clothing","shoes"
"어떤 종류의 운동을 즐기는지 물어볼 때","What kind of physical activities do you enjoy?","어떤 종류의 운동을 즐기시나요?","What kind of (____) activities do you enjoy?","physical","mental"
"어떤 종류의 장소를 좋아하는지 물어볼 때","What kind of places do you like to visit?","어떤 종류의 장소를 좋아하시나요?","What kind of (____) do you like to visit?","places","foods"
"어떤 종류의 음악을 연주하는지 물어볼 때","What kind of music do you play?","어떤 종류의 음악을 연주하시나요?","What kind of (____) do you play?","music","games"
"어떤 종류의 취미를 즐기는지 물어볼 때","What kind of leisure activities do you pursue?","어떤 종류의 취미를 즐기시나요?","What kind of (____) activities do you pursue?","leisure","work"
